,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량
1090,찹스테이크,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,453.78kcal
1091,감자케찹조림,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,59.35kcal
1092,한방삼계탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,814.67kcal
1093,도토리냉국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.06kcal
1094,명란계란찜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.42kcal
1095,치커리유자청무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75kcal
1096,브로콜리새우살볶음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103.35kcal
1097,모듬버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.54kcal
1098,시금치맛살무침,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120.91kcal
1099,훈제오리/쌈무/머스타드소스,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.33kcal
1100,두부간장볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.57kcal
1101,갑오징어풋마늘무침M665:갑오징어풋마늘무침대,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130.08kcal
1102,조기양념찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.68kcal
1103,우엉잡채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,111.94kcal
1104,감자밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.85kcal
1105,삼겹살구이GN78:갈비탕대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.84kcal
1106,콜라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5kcal
1107,고구마샐러드CN19:게맛살과일샐러드대,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156.45kcal
1108,양배추쌈M582:오이무침대,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.33kcal
1109,오이양파장아찌C510:야채샐러드대,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37.71kcal
1110,무나물M582:오이무침대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.69kcal
1111,브로콜리/초고추장M584:오이부추무침대,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72.53kcal
1112,돼지고기김치볶음O564:쇠고기,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,260.56kcal
1113,시금치고추장무침M582:오이무침대,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.83kcal
1114,무나물M531:무생채대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.69kcal
1115,소불고기덮밥소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,241.2kcal
1116,치킨너겟강정,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,356.71kcal
1117,아이스크림 바,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126kcal
1118,골뱅이오징어채볶음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,169.24kcal
1119,콩나물닭볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,195.07kcal
1120,우엉채조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.23kcal
1121,문어야채초고추장무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107.28kcal
1122,낙지야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.69kcal
1123,볶음김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.19kcal
1124,꽈리고추찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79kcal
1125,닭고기단호박조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,194.83kcal
1126,두부된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.66kcal
1127,생선묵맛살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75.87kcal
1128,비엔나소시지케찹조림,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,282.91kcal
1129,맛있는 두유GT 달콤한맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1130,팽이버섯계란국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.26kcal
1131,유림기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,477.04kcal
1132,알감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.06kcal
1133,꼬막콩나물비빔밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,416.94kcal
