,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량
392,양념치킨,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,946.09kcal
393,패주미더덕찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,133.4kcal
394,계란장조림,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,115.18kcal
395,찰보리밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.8kcal
396,전복짬뽕찌개,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,94.23kcal
397,중화풍삼겹살조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,518.07kcal
398,감자풋고추볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.88kcal
399,고등어순살조림,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,146.77kcal
400,돈육김치덮밥,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,569.88kcal
401,두부고추장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,81.09kcal
402,쇠고기곰탕,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70.2kcal
403,오징어채간장볶음,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,103.9kcal
404,햄슬라이스야채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,210.72kcal
405,양파간장절임,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.22kcal
406,찰보리비빔밥,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.8kcal
407,밥2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.5kcal
408,두부김치국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.29kcal
409,돼지갈비찜,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,391.65kcal
410,쇠고기볶음고추장,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81.91kcal
411,건새우애호박찌개,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,67.09kcal
412,소시지케찹볶음,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,304.13kcal
413,코다리순살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8kcal
414,참치마요덮밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,591.86kcal
415,순두부국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,76.1kcal
416,만두탕수,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,623.44kcal
417,햄김치찌개,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134.57kcal
418,돈육야채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,296.1kcal
419,낙지삼겹볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,434.29kcal
420,조밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.85kcal
421,꼬꼬떡만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,516.03kcal
422,돈육김치볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.79kcal
423,오리간장주물럭,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256.53kcal
424,콩나물매운잡채,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,215.95kcal
425,얼큰황태채국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.12kcal
426,닭고기야채조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,238.4kcal
427,자두,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26kcal
428,오징어실채볶음,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,112.83kcal
429,멕시칸샐러드,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111.99kcal
430,초코우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126kcal
431,고추참치김치덮밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.15kcal
432,쇠고기야채덮밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,525.88kcal
