,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤
999,고추참치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77kcal,100 g,160,9,8,14,620,15
1000,영양바,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 개,72,11,2,1,--,--
1001,해물강된장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,181.59kcal,100 g,119,15,4,6,"1,682",--
1002,매콤닭무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,177.01kcal,200 g,126,5,11,3,"1,449",--
1003,건강담은 야채가득음료 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54kcal,1 package,45,11,-,1,15,--
1004,딸기맛우유,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116kcal,1 팩,190,27,5,7,125,25
1005,달콤한베지밀비 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,190 ml,120,11,6,6,160,--
1006,양파고추쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.57kcal,15 g,33,7,-,-,251,--
1007,돼지고기부추덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,806.99kcal,1 컵,59,3,2,5,190,--
1008,훈제오리볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.04kcal,1 인분,155,6,11,8,200,65
1009,두부엿장조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135.76kcal,1 캔,90,7,2,11,--,--
1010,쇠고기우거지국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50.48kcal,500 g,89,6,2,10,"1,500",40
1011,참깨라면,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,459.09kcal,1 container,485,-,18,9,"1,670",7
1012,얼큰북어채국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.68kcal,1 봉,35,6,-,2,580,15
1013,만두국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,440.72kcal,1 인분 (400g),418,29,21,24,"2,350",168
1014,깻잎볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,243.28kcal,100 g,103,5,7,3,521,--
1015,오리고기버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152.17kcal,70 g,201,44,-,5,16,--
1016,우유살균형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154kcal,100 ml,65,5,3,3,50,15
1017,쌀국수비빔면,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325kcal,0.5 봉지,200,26,10,2,210,--
1018,브로콜리어묵카레볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.97kcal,0.5 작은접시,88,10,3,5,526,--
1019,불고기낙지볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,315kcal,1 컵,340,74,1,8,520,5
