,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1774,들깨버섯국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5.676,0.792,0.792,117.48,0.0
1775,계란장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2.1982758620689653,4.396551724137931,7.327586206896552,415.4741379310345,65.21551724137932
1776,코다리순살시래기조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178,22.35348837209302,8.279069767441861,4.1395348837209305,99.34883720930233,95.20930232558139
1777,해물매콤잡채,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,185,21.142857142857142,5.285714285714286,10.571428571428571,1030.7142857142858,13.214285714285714
1778,쇠고기버섯장조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,83,12.911111111111111,0.46111111111111114,6.916666666666667,816.1666666666666,23.055555555555557
1779,콩나물오징어초무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,142,18.68421052631579,3.736842105263158,7.473684210526316,1498.4736842105262,0.0
1780,돼지고기콩나물찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,115,14.72318339100346,3.1833910034602075,6.366782006920415,42.17993079584775,3.9792387543252596
1781,연근깐풍기,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,585,76.86131386861314,21.35036496350365,12.81021897810219,606.3503649635037,55.51094890510949
1782,비엔나소시지강정,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,480,5.052631578947368,40.421052631578945,25.263157894736842,1162.1052631578948,75.78947368421052
1783,버섯들깨볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7.878048780487805,2.317073170731707,1.3902439024390243,14.365853658536585,0.0
1784,순두부오징어국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,5.875,5.091666666666667,6.658333333333333,3.525,0.0
1785,낙지미나리초무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,27.586206896551722,0.0,5.517241379310345,1357.2413793103449,0.0
1786,김치버섯찌개,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1.4938271604938271,2.037037037037037,2.037037037037037,266.44444444444446,3.3950617283950617
1787,무숙장아찌,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,91,18.958333333333332,0.0,0.0,3332.875,0.0
1788,미트볼강정,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,467,31.495348837209303,29.323255813953487,19.548837209302327,1715.953488372093,70.59302325581395
1789,비엔나소시지고추장조림,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,294,3.094736842105263,24.757894736842104,15.473684210526315,711.7894736842105,46.421052631578945
1790,쇠고기청국장찌개,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,102,2.4878048780487805,4.975609756097561,9.951219512195122,1288.6829268292684,0.0
1791,명태해물탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,74,16.498360655737706,0.24262295081967214,1.455737704918033,111.60655737704919,0.0
1792,김치오징어불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,149,29.407894736842106,1.9605263157894737,3.9210526315789473,259.76973684210526,12.743421052631579
1793,쇠고기연근조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,139,21.622222222222224,0.7722222222222223,11.583333333333334,1366.8333333333333,38.611111111111114
1794,고등어추어탕,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,222,20.4,8.4,16.8,1404.0,54.0
1795,키조개버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,133,29.114427860696516,0.0,3.308457711442786,10.587064676616915,0.0
1796,굴대파볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,12.571428571428571,3.6317460317460317,1.2571428571428571,0.0,0.0
1797,고등어시래기조림,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,177,9.44,10.62,10.62,814.2,41.3
1798,굴떡국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,68.62419006479482,3.084233261339093,10.794816414686824,949.1727861771059,9.25269978401728
1799,쇠고기고추장볶음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154,6.942622950819672,10.098360655737705,6.942622950819672,171.672131147541,20.827868852459016
1800,참돔튀김,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,384,96.0,0.0,0.0,51.42857142857143,0.0
1801,두부쑥갓국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0.0,0.0,0.0,0.0,0.0
1802,패주해물콩나물찜,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,101,8.08,0.0,16.16,161.6,0.0
1803,미나리불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,349,44.159183673469386,11.395918367346939,17.09387755102041,826.204081632653,21.367346938775512
1804,데리야끼소시지볶음,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,343,44.11575562700965,16.543408360128616,4.411575562700965,474.2443729903537,0.0
1805,북어들깨미역국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6.0,3.6,3.6,90.0,0.0
1806,돼지고기버섯볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,291,14.965714285714286,16.62857142857143,18.291428571428572,873.8314285714285,47.39142857142857
1807,순살삼치구이,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0.0,7.821782178217822,17.99009900990099,70.39603960396039,0.0
1808,돼지고기양배추볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,297,13.389344262295081,19.475409836065573,13.389344262295081,331.08196721311475,40.16803278688525
1809,케이준샐러드,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,598,39.42857142857143,32.857142857142854,32.857142857142854,828.0,48.19047619047619
1810,삼양라면매운맛봉지라면,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,417,63.62474226804124,14.616494845360824,7.738144329896907,1401.4639175257732,0.0
1811,메론맛우유,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,34.0,13.0,5.0,100.0,20.0
1812,닭순살카레밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,594,32.637362637362635,26.10989010989011,55.48351648351648,1360.978021978022,199.0879120879121
1813,콩나물냉채,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,27.1030303030303,0.0,0.9454545454545454,94.54545454545455,0.0
1814,데리야끼장어덮밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,431,64.00990099009901,11.735148514851485,18.136138613861387,848.1311881188119,64.00990099009901
1815,나가사끼짬뽕봉지라면,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,413,69.5578947368421,11.303157894736842,8.694736842105263,1452.0210526315789,0.0
1816,오이된장무침,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2.707692307692308,2.707692307692308,2.0307692307692307,33.84615384615385,10.153846153846153
1817,튜브형 아이스크림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,22.96551724137931,8.689655172413794,3.103448275862069,53.37931034482759,11.172413793103448
1818,중화식덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,749,127.54710144927536,10.855072463768115,35.278985507246375,1607.9076086956522,0.0
1819,쇠고기탕국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,1.36,2.72,4.08,564.4,13.6
