,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤,맛
1326,초코우유 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.0,16.8,4.62,4.2,84.0,0.0,8
1327,해물나시고랭,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,572.0,72.73988439306359,19.838150289017342,19.838150289017342,1221.699421965318,160.35838150289018,7
1328,쇠고기곰탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175.0,7.777777777777778,3.888888888888889,24.62962962962963,0.0,0.0,6
1329,홍합탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,2.583333333333333,1.55,8.783333333333333,0.0,0.0,9
1330,해물소스비빔밥 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,94.91819699499165,13.412353923205345,26.82470784641069,507.6060100166945,56.74457429048414,5
1331,해물짬뽕찌개 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,136.0,29.53142857142857,0.7771428571428571,3.1085714285714285,695.5428571428571,0.0,7
1332,피조갯살야채볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.0,0.0,0.0,0.0,0.0,0.0,4
1333,돼지고기수육 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0.3402489626556016,3.3684647302904565,2.279668049792531,14.154356846473028,4.525311203319502,10
1334,얼큰떡만둣국 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,576.0,101.376,10.1376,18.432,1824.768,112.4352,7
1335,소시지칠리볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,291.0,21.825,18.1875,8.4875,437.7125,36.375,6
1336,양파핫도그 ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,799.0,195.3111111111111,0.0,0.0,88.77777777777777,0.0,7
1337,딸기우유 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0,8.923076923076923,7.138461538461539,4.461538461538462,160.6153846153846,0.0,8
1338,삶은계란 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,0.0,5.764705882352941,7.205882352941177,175.8235294117647,268.05882352941177,9
