날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-05-22","","","닭갈비(05)(06)(15)","326.43kcal","애호박나물(05)(09)","108.75kcal","","","2943.90kcal"
"2021-05-22","","","상추/깻잎쌈(05)(06)","50.41kcal","배추김치(5~6월)","23.19kcal","","","2943.90kcal"
"2021-05-22","","","배추김치(5~6월)","23.19kcal","대추방울토마토(생산기)(12)","25.5kcal","","","2943.90kcal"
"2021-05-23","밥","363kcal","찰보리밥","386.7kcal","콩나물밥(05)(06)","405.38kcal","","","2604.57kcal"
"2021-05-23","배추된장국(05)(06)","31.93kcal","닭곰탕(05)(15)","179.21kcal","조개국(01)(05)","58.46kcal","","","2604.57kcal"
"2021-05-23","생선묵고추장볶음(05)(06)","195.87kcal","꽈리고추멸치볶음(05)(06)","81.97kcal","고등어순살조림(05)(06)(07)","167.78kcal","","","2604.57kcal"
"2021-05-23","오이무침","20.36kcal","감자매운조림(05)(06)","131.78kcal","배추김치(5~6월)","23.19kcal","","","2604.57kcal"
"2021-05-23","깍두기(임가공)","28.75kcal","배추김치(5~6월)","23.19kcal","쌀국수비빔면(영내자증식용)(06)","325kcal","","","2604.57kcal"
"2021-05-23","우유(백색우유(200ML,연간))(02)","122kcal","영양바","","주스,카프리썬 사과(200ml,파우치)","60kcal","","","2604.57kcal"
"2021-05-24","밥","363kcal","잡곡밥","380.35kcal","닭고기덮밥(01)(05)(06)(15)","715.88kcal","","","3008.26kcal"
"2021-05-24","두부고추장찌개(05)(06)(10)","126.21kcal","쇠고기우거지국(05)(06)(16)","52.78kcal","된장국(일품용)(05)(06)","61.56kcal","","","3008.26kcal"
"2021-05-24","햄슬라이스야채볶음(10)","175kcal","제육볶음(05)(06)(10)","545.56kcal","감자채볶음","118.26kcal","","","3008.26kcal"
"2021-05-24","맛김","5.25kcal","계란찜(01)(09)","81.72kcal","깍두기(임가공)","28.75kcal","","","3008.26kcal"
"2021-05-24","배추김치(5~6월)","23.19kcal","깍두기(임가공)","28.75kcal","아이스크림, 떠먹는형","180kcal","","","3008.26kcal"
"2021-05-24","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3008.26kcal"
"2021-05-25","밥","363kcal","쫄면(05)(06)","723.36kcal","현미밥","395.67kcal","","","3068.31kcal"
"2021-05-25","팽이버섯국(05)(06)","40.46kcal","돈가스(06)(10)","534.51kcal","감자양파찌개(05)(06)","72.58kcal","","","3068.31kcal"
"2021-05-25","비엔나소시지야채볶음(10)(12)","271.27kcal","단무지","11.16kcal","돼지고기청경채볶음(05)(06)(10)","420.23kcal","","","3068.31kcal"
"2021-05-25","맛김","5.25kcal","배추김치(5~6월)","23.19kcal","오이고추장무침(06)","26.01kcal","","","3068.31kcal"
"2021-05-25","배추김치(5~6월)","23.19kcal","바나나(3사교)","7.68kcal","깍두기(임가공)","28.75kcal","","","3068.31kcal"
"2021-05-25","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3068.31kcal"
"2021-05-26","밥","363kcal","흑미밥","383.63kcal","밥","363kcal","","","3178.02kcal"
"2021-05-26","매운버섯국(05)(06)","50.76kcal","부대찌개(05)(06)(10)","194.76kcal","생선묵국(05)(06)","71.81kcal","","","3178.02kcal"
"2021-05-26","두부김치(05)(06)(10)","382.97kcal","방어순살조림(05)(06)","88.22kcal","떡볶이(05)(06)(10)","386.69kcal","","","3178.02kcal"
"2021-05-26","무나물(05)(06)","53.04kcal","콩나물무침(05)","33.29kcal","야채튀김(01)(06)(12)","444.16kcal","","","3178.02kcal"
"2021-05-26","깍두기(임가공)","28.75kcal","깍두기(임가공)","28.75kcal","배추김치(5~6월)","23.19kcal","","","3178.02kcal"
"2021-05-26","우유(백색우유(200ML,연간))(02)","122kcal","","","젤리","160kcal","","","3178.02kcal"
"2021-05-27","밥","363kcal","찰보리밥","386.7kcal","햄치즈버거(01)(02)(06)(10)(12)","1335.16kcal","","","3544.71kcal"
"2021-05-27","쇠고기미역국(05)(16)","44.62kcal","아욱된장국(05)(06)","36.42kcal","컵과일(대추방울토마토)","17kcal","","","3544.71kcal"
"2021-05-27","맛김","5.25kcal","삼겹살구이(05)(06)(10)","716.91kcal","","","","","3544.71kcal"
"2021-05-27","궁중닭찜(05)(06)(15)","298.86kcal","상추/깻잎쌈(05)(06)","50.41kcal","","","","","3544.71kcal"
"2021-05-27","배추김치(5~6월)","23.19kcal","크림수프","0kcal","","","","","3544.71kcal"
"2021-05-27","우유(백색우유(200ML,연간))(02)","244kcal","배추김치(5~6월)","23.19kcal","","","","","3544.71kcal"
"2021-05-28","밥","363kcal","찹쌀밥","386.34kcal","카레밥(06)(10)","613.8kcal","","","2723.75kcal"
"2021-05-28","순두부찌개(01)(05)(06)(10)","153.27kcal","꼬리곰탕","572.88kcal","버섯된장찌개(05)(06)","45kcal","","","2723.75kcal"
"2021-05-28","계란찜(01)(09)","81.72kcal","갑오징어야채무침(06)(17)","109.28kcal","브로콜리어묵카레볶음(05)(06)","106.33kcal","","","2723.75kcal"
"2021-05-28","콩나물매운무침(05)(06)","35kcal","깍두기(임가공)","28.75kcal","배추김치(5~6월)","23.19kcal","","","2723.75kcal"
"2021-05-28","배추김치(5~6월)","23.19kcal","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","","","2723.75kcal"
"2021-05-28","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2723.75kcal"
"2021-05-29","핫도그빵(01)(06)(10)(12)","825.79kcal","잡곡밥","380.35kcal","밥","363kcal","","","2714.77kcal"
"2021-05-29","우유(백색우유(200ML,연간))(02)","244kcal","조개국(01)(05)","58.46kcal","쇠고기우거지국(05)(06)(16)","52.78kcal","","","2714.77kcal"
"2021-05-29","","","치즈불닭(05)(06)(15)","342.67kcal","코다리조림(05)(06)","119.27kcal","","","2714.77kcal"
"2021-05-29","","","시금치무침(05)(06)","20.84kcal","미나리나물(05)(06)","21.67kcal","","","2714.77kcal"
"2021-05-29","","","배추김치(5~6월)","23.19kcal","깍두기(임가공)","28.75kcal","","","2714.77kcal"
"2021-05-29","","","아이스크림 팩형(02)","234kcal","","","","","2714.77kcal"
"2021-05-30","밥","363kcal","마파두부덮밥(05)(06)(10)","890.43kcal","잡곡밥","380.35kcal","","","3041.30kcal"
"2021-05-30","두부김치국(05)","35.2kcal","팽이버섯국(05)(06)","40.46kcal","고추참치통조림찌개(05)","179.17kcal","","","3041.30kcal"
"2021-05-30","햄야채볶음(01)(10)","177.04kcal","콩나물매운무침(05)(06)","35kcal","감자채볶음","118.26kcal","","","3041.30kcal"
"2021-05-30","무생채","28.62kcal","배추김치(5~6월)","23.19kcal","두부매운조림(05)(06)","137.55kcal","","","3041.30kcal"
"2021-04-30","돼지고기감자조림(05)(06)(10)","291.77kcal","크림수프","0kcal","시금치무침(05)(06)","20.7kcal","","","2990.10kcal"
"2021-04-30","배추김치(3~4월)","10.5kcal","파김치","21.24kcal","배추김치(3~4월)","10.5kcal","","","2990.10kcal"
"2021-04-30","","","우유(백색우유(200ML,연간))(02)","122kcal","아이스크림 팩형(02)","234kcal","","","2990.10kcal"
"2021-05-01","밥","363kcal","닭고기덮밥(01)(05)(06)(15)","715.88kcal","잡곡밥","380.35kcal","","","2811.13kcal"
"2021-05-01","쇠고기무국(05)(16)","51.48kcal","시금치된장국(05)(06)(18)","47.74kcal","오징어찌개(05)(06)(17)","67.14kcal","","","2811.13kcal"
"2021-05-01","두부김치(05)(06)(10)","382.97kcal","콩나물무침(05)","33.29kcal","돼지불고기(05)(06)(10)","464.79kcal","","","2811.13kcal"
"2021-05-01","맛김","5.25kcal","배추김치(5~6월)","23.19kcal","상추겉절이(05)(06)","42.11kcal","","","2811.13kcal"
"2021-05-01","깍두기(임가공)","28.75kcal","","","배추김치(5~6월)","23.19kcal","","","2811.13kcal"
"2021-05-01","우유(백색우유(200ML,연간))(02)","122kcal","","","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","2811.13kcal"
"2021-05-02","밥","363kcal","잡곡밥","380.35kcal","짬뽕밥(05)(06)(10)(17)","693.29kcal","","","2985.42kcal"
"2021-05-02","버섯된장찌개(05)(06)","45kcal","콩나물김치국(05)","16.18kcal","계란국(01)(05)","70.46kcal","","","2985.42kcal"
"2021-05-02","멸치볶음(05)(06)","80.52kcal","쇠고기느타리버섯잡채(05)(06)(16)","296.48kcal","오이양파장아찌(05)(06)","28.37kcal","","","2985.42kcal"
"2021-05-02","두부매운조림(05)(06)","137.55kcal","시금치고추장무침(05)(06)","32kcal","배추김치(5~6월)","23.19kcal","","","2985.42kcal"
"2021-05-02","배추김치(5~6월)","23.19kcal","깍두기(임가공)","28.75kcal","참깨라면,110g(오뚜기,용기라면,다수공급자계약,영내자증식)","459.09kcal","","","2985.42kcal"
"2021-05-02","우유(백색우유(200ML,연간))(02)","122kcal","과일푸딩","126kcal","주스,카프리썬 사과(200ml,파우치)","60kcal","","","2985.42kcal"
"2021-05-03","밥","363kcal","밥1","181.5kcal","잡곡밥","380.35kcal","","","2593.56kcal"
"2021-05-03","두부고추장찌개(05)(06)(10)","126.21kcal","만두국(01)(05)(06)(10)","440.72kcal","닭곰탕(05)(15)","179.21kcal","","","2593.56kcal"
"2021-05-03","오징어채간장볶음(01)(05)(06)(17)","93.41kcal","마늘쫑새우볶음(05)(06)","106.69kcal","감자조림(05)(06)","109.83kcal","","","2593.56kcal"
"2021-05-03","계란찜(01)(09)","81.72kcal","오징어젓무침(17)","47.69kcal","배추겉절이(09)","28.54kcal","","","2593.56kcal"
"2021-05-03","배추김치(5~6월)","23.19kcal","깍두기(임가공)","28.75kcal","깍두기(임가공)","28.75kcal","","","2593.56kcal"
"2021-05-03","","","우유(백색우유(200ML,연간))(02)","122kcal","아이스샌드","252kcal","","","2593.56kcal"
"2021-05-04","밥","363kcal","자장밥(05)(06)(10)","778.8kcal","현미밥","395.67kcal","","","3274.00kcal"
"2021-05-04","배추된장국(05)(06)","31.93kcal","짬뽕찌개(05)(06)(17)(18)","109.7kcal","쇠고기무국(05)(16)","51.48kcal","","","3274.00kcal"
"2021-05-04","돼지고기고추장볶음(05)(06)(10)","506.32kcal","청경채굴소스볶음(05)(06)(09)(17)","148.1kcal","닭강정(01)(05)(06)(15)","666.61kcal","","","3274.00kcal"
"2021-05-04","맛김","5.25kcal","배추김치(5~6월)","23.19kcal","오이고추장무침(06)","26.01kcal","","","3274.00kcal"
"2021-05-04","가공우유(딸기맛)(02)","116kcal","","","배추김치(5~6월)","23.19kcal","","","3274.00kcal"
"2021-05-04","깍두기(임가공)","28.75kcal","","","영양바","","","","3274.00kcal"
"2021-05-05","밥","363kcal","삼겹살간장덮밥(01)(05)(06)(10)","984.43kcal","흑미밥","383.63kcal","","","3083.16kcal"
"2021-05-05","된장국(일품용)(05)(06)","61.56kcal","콩나물무채국(05)","26.62kcal","들깨미역국(05)","12.11kcal","","","3083.16kcal"
"2021-05-05","햄슬라이스야채볶음(10)","175kcal","매실피클","63.6kcal","닭갈비(05)(06)(15)","326.43kcal","","","3083.16kcal"
"2021-05-05","무생채","28.62kcal","배추김치(5~6월)","23.19kcal","배추겉절이(09)","28.54kcal","","","3083.16kcal"
"2021-05-05","배추김치(5~6월)","23.19kcal","우유,살균형(바나나)","154kcal","파김치","21.24kcal","","","3083.16kcal"
"2021-05-05","우유(백색우유(200ML,연간))(02)","122kcal","","","초콜릿(3사교)","286kcal","","","3083.16kcal"
"2021-05-06","밥","363kcal","에그햄치즈버거(01)(02)(06)(10)(12)","1340.36kcal","찹쌀밥","386.34kcal","","","3317.50kcal"
"2021-05-06","돼지고기김치찌개(05)(06)(10)","84.41kcal","우유(백색우유(200ML,연간))(02)","244kcal","북어채국(01)(05)","77.63kcal","","","3317.50kcal"
"2021-05-06","새송이버섯야채볶음(05)(06)","69.37kcal","사과(후지)","51.156kcal","돼지갈비찜(01)(05)(06)(10)(12)","485.67kcal","","","3317.50kcal"
"2021-05-06","순두부양념장(05)(06)","66.25kcal","","","매쉬포테이토","97.37kcal","","","3317.50kcal"
"2021-05-06","깍두기(임가공)","28.75kcal","","","배추김치(5~6월)","23.19kcal","","","3317.50kcal"
"2021-05-07","밥","363kcal","잡곡밥","380.35kcal","밥","363kcal","","","2928.28kcal"
"2021-05-07","소시지찌개(05)(06)(10)","227.71kcal","꽃게탕(05)(06)","92.16kcal","쇠고기콩나물국(05)(16)","58.2kcal","","","2928.28kcal"
"2021-05-07","맛김","5.25kcal","불고기낙지볶음(05)(06)(10)","315kcal","돈가스(06)(10)","534.51kcal","","","2928.28kcal"
"2021-05-07","두부매운조림(05)(06)","137.55kcal","양배추쌈(05)(06)","49.64kcal","야채샐러드(01)(12)","144.78kcal","","","2928.28kcal"
"2021-05-07","배추김치(5~6월)","23.19kcal","깍두기(임가공)","28.75kcal","배추김치(5~6월)","23.19kcal","","","2928.28kcal"
"2021-05-07","우유(백색우유(200ML,연간))(02)","122kcal","","","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","2928.28kcal"
"2021-05-08","핫도그빵(01)(06)(10)(12)","825.79kcal","찰보리밥","386.7kcal","밥","363kcal","","","2993.11kcal"
"2021-05-08","우유(백색우유(200ML,연간))(02)","244kcal","근대된장국(05)(06)","34.51kcal","부대찌개(05)(06)(10)","194.76kcal","","","2993.11kcal"
"2021-05-08","","","오리불고기(05)(06)","374.87kcal","쇠고기불고기(05)(06)(16)","245.81kcal","","","2993.11kcal"
"2021-05-08","","","오이부추무침","22.45kcal","시금치무침(05)(06)","20.84kcal","","","2993.11kcal"
"2021-05-08","","","배추김치(5~6월)","23.19kcal","배추김치(5~6월)","23.19kcal","","","2993.11kcal"
"2021-05-08","","","","","아이스크림 팩형(02)","234kcal","","","2993.11kcal"
"2021-05-09","밥","363kcal","찰보리밥","386.7kcal","돼지고기부추덮밥(01)(05)(06)(10)","851.68kcal","","","2969.07kcal"
"2021-05-09","돼지고기김치찌개(05)(06)(10)","84.41kcal","닭볶음탕(05)(06)(15)","275.12kcal","콩나물두부국(05)","25.05kcal","","","2969.07kcal"
"2021-05-09","비엔나소시지케찹볶음(10)(12)","321.73kcal","된장국(일품용)(05)(06)","61.56kcal","오이무침","20.36kcal","","","2969.07kcal"
"2021-05-09","콩나물무침(05)","33.29kcal","깻잎볶음(05)(06)(10)","258.97kcal","깍두기(임가공)","28.75kcal","","","2969.07kcal"
"2021-05-09","깍두기(임가공)","28.75kcal","배추김치(5~6월)","23.19kcal","포도 주스(180㎖/캔)","84.51kcal","","","2969.07kcal"
"2021-05-09","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2969.07kcal"
"2021-05-10","밥","363kcal","치킨마요덮밥(01)(05)(06)","1088.11kcal","밥","363kcal","","","3326.61kcal"
"2021-05-10","두부고추장찌개(05)(06)(10)","126.21kcal","팽이버섯국(05)(06)","40.46kcal","호박된장찌개(05)(06)","50.97kcal","","","3326.61kcal"
"2021-05-10","맛김","5.25kcal","까르보나라떡볶이(10)","314.06kcal","돼지고기부추볶음(05)(06)(10)","407kcal","","","3326.61kcal"
"2021-05-10","고등어순살조림(05)(06)(07)","167.78kcal","깍두기(임가공)","28.75kcal","양배추쌈(05)(06)","49.64kcal","","","3326.61kcal"
"2021-05-10","배추김치(5~6월)","23.19kcal","우유,살균형(바나나)","154kcal","배추김치(5~6월)","23.19kcal","","","3326.61kcal"
"2021-05-10","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3326.61kcal"
"2021-05-11","밥","363kcal","생우동(05)(06)","393.49kcal","밥","363kcal","","","2639.22kcal"
"2021-05-11","두부맑은국(05)(09)","32.65kcal","치킨너겟(01)(06)(15)","581.49kcal","오징어찌개(05)(06)(17)","67.14kcal","","","2639.22kcal"
"2021-05-11","맛김","5.25kcal","단무지무침","19.09kcal","닭고기감자조림(05)(06)(15)","280.28kcal","","","2639.22kcal"
"2021-05-11","돈육표고장조림(05)(06)(10)","266.64kcal","배추김치(5~6월)","23.19kcal","콩나물매운무침(05)(06)","35kcal","","","2639.22kcal"
"2021-05-11","가공우유(초코맛)(02)","126kcal","대추방울토마토(생산기)(12)","25.5kcal","깍두기(임가공)","28.75kcal","","","2639.22kcal"
"2021-05-11","깍두기(임가공)","28.75kcal","","","","","","","2639.22kcal"
"2021-05-12","밥","363kcal","찹쌀밥","386.34kcal","밥","363kcal","","","2896.43kcal"
"2021-05-12","생선묵국(05)(06)","71.81kcal","감자호박국(05)(09)","33.25kcal","순두부해물찌개(01)(05)(17)","111.25kcal","","","2896.43kcal"
"2021-05-12","계란찜(01)(09)","81.72kcal","닭고기김치찜(05)(06)(15)","224.61kcal","오징어채볶음(01)(05)(06)(17)","118.86kcal","","","2896.43kcal"
"2021-05-12","오이무침","20.36kcal","두부엿장조림(05)(06)","147.38kcal","미트볼양념조림(01)(05)(06)(10)(12)","525.72kcal","","","2896.43kcal"
"2021-05-12","배추김치(5~6월)","23.19kcal","깍두기(임가공)","28.75kcal","배추김치(5~6월)","23.19kcal","","","2896.43kcal"
"2021-05-12","우유(백색우유(200ML,연간))(02)","122kcal","","","아이스샌드","252kcal","","","2896.43kcal"
"2021-05-13","밥","363kcal","비빔밥(05)(06)(16)","636.52kcal","새우버거(01)(06)(09)(12)","1058.65kcal","","","2942.62kcal"
"2021-05-13","콩나물국(05)","14.24kcal","조갯살미역국(05)","17.44kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","2942.62kcal"
"2021-05-13","표고버섯돼지고기볶음(05)(06)(10)","405.75kcal","계란찜(01)(09)","81.72kcal","","","","","2942.62kcal"
"2021-05-13","오이무침","20.36kcal","크림수프","0kcal","","","","","2942.62kcal"
"2021-05-13","깍두기(임가공)","28.75kcal","배추김치(5~6월)","23.19kcal","","","","","2942.62kcal"
"2021-05-13","컵과일(사과)","49kcal","","","","","","","2942.62kcal"
"2021-05-14","밥","363kcal","현미밥","395.67kcal","하이라이스(01)(05)(06)(10)","984.65kcal","","","3233.95kcal"
"2021-05-14","쇠고기육개장(01)(05)(06)(16)","136.91kcal","근대된장국(05)(06)","34.51kcal","두부김치국(05)","35.2kcal","","","3233.95kcal"
"2021-05-14","꽈리고추멸치볶음(05)(06)","81.97kcal","궁중떡볶이(05)(06)(16)","422.44kcal","야채샐러드(01)(12)","144.78kcal","","","3233.95kcal"
"2021-05-14","무나물(05)(06)","53.04kcal","오리훈제파프리카볶음(01)","311.72kcal","깍두기(임가공)","28.75kcal","","","3233.95kcal"
"2021-05-14","배추김치(5~6월)","23.19kcal","백김치","15.12kcal","","","","","3233.95kcal"
"2021-05-14","우유(백색우유(200ML,연간))(02)","122kcal","복숭아 주스(340㎖/캔)","81kcal","","","","","3233.95kcal"
"2021-05-15","밥","363kcal","오징어덮밥(05)(06)(17)","616.34kcal","흑미밥","383.63kcal","","","2866.82kcal"
"2021-05-15","감자양파찌개(05)(06)","72.58kcal","순두부백탕(01)(05)(18)","87.62kcal","아욱된장국(05)(06)","36.42kcal","","","2866.82kcal"
"2021-05-15","소시지야채볶음(05)(06)(10)","297.03kcal","시금치무침(05)(06)","20.84kcal","돼지불고기(05)(06)(10)","464.79kcal","","","2866.82kcal"
"2021-04-15","돼지불고기(05)(06)(10)","488.89kcal","오징어젓무침(17)","47.69kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","3440.53kcal"
"2021-04-15","오이고추장무침(06)","27.63kcal","배추김치(3~4월)","10.5kcal","","","","","3440.53kcal"
"2021-04-15","배추김치(3~4월)","10.5kcal","","","","","","","3440.53kcal"
"2021-04-16","밥","363kcal","마파두부덮밥(05)(06)(10)","849.86kcal","찹쌀밥","386.34kcal","","","3085.51kcal"
"2021-04-16","쇠고기무국(05)(16)","54.03kcal","팽이버섯국(05)(06)","43.42kcal","조개국(01)(05)","74.39kcal","","","3085.51kcal"
"2021-04-16","애호박나물(05)(09)","108.75kcal","새우튀김(01)","495.82kcal","오리불고기(05)(06)","374.87kcal","","","3085.51kcal"
"2021-04-16","생선묵조림(05)(06)","91.42kcal","배추김치(3~4월)","10.5kcal","시금치무침(05)(06)","20.7kcal","","","3085.51kcal"
"2021-04-16","깍두기(임가공)","28.75kcal","사과(후지)","51.156kcal","배추김치(3~4월)","10.5kcal","","","3085.51kcal"
"2021-04-16","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3085.51kcal"
"2021-04-17","밥","363kcal","흑미밥","383.63kcal","밥","363kcal","","","2668.78kcal"
"2021-04-17","부대찌개(05)(06)(10)","207.58kcal","감자양파찌개(05)(06)","72.58kcal","북어채국(01)(05)","83.14kcal","","","2668.78kcal"
"2021-04-17","두부엿장조림(05)(06)","140.22kcal","돼지고기부추볶음(05)(06)(10)","401.26kcal","닭고기김치찜(05)(06)(15)","235.7kcal","","","2668.78kcal"
"2021-04-17","콩나물매운무침(05)(06)","34.03kcal","양배추쌈(05)(06)","53.64kcal","맛김","5.25kcal","","","2668.78kcal"
"2021-04-17","배추김치(3~4월)","10.5kcal","배추김치(3~4월)","10.5kcal","깍두기(임가공)","28.75kcal","","","2668.78kcal"
"2021-04-17","우유(백색우유(200ML,연간))(02)","122kcal","우유,살균형(바나나)","154kcal","","","","","2668.78kcal"
"2021-04-18","밥","363kcal","잡곡밥","380.35kcal","밥","363kcal","","","2990.44kcal"
"2021-04-18","조갯살미역국(05)","18.07kcal","오징어찌개(05)(06)(17)","67.37kcal","배추된장국(05)(06)","36.74kcal","","","2990.44kcal"
"2021-04-18","햄야채볶음(01)(10)","212.08kcal","쇠고기느타리버섯잡채(05)(06)(16)","298.45kcal","표고버섯돼지고기볶음(05)(06)(10)","405.75kcal","","","2990.44kcal"
"2021-04-18","순두부양념장(05)(06)","58.69kcal","오이부추무침","22.19kcal","콩나물무침(05)","33.29kcal","","","2990.44kcal"
"2021-04-18","배추김치(3~4월)","10.5kcal","백김치","15.12kcal","깍두기(임가공)","28.75kcal","","","2990.44kcal"
"2021-04-18","우유(백색우유(200ML,연간))(02)","122kcal","요구르트,떠먹는형(02)","96kcal","참깨라면,110g(오뚜기,용기라면,다수공급자계약,영내자증식)","459.09kcal","","","2990.44kcal"
"2021-04-19","밥","363kcal","하이라이스(01)(05)(06)(10)","991.66kcal","찰보리밥","386.7kcal","","","2872.81kcal"
"2021-04-19","쇠고기감자국(05)(16)","55.92kcal","무청시래기국(05)(06)","42.26kcal","감자양파찌개(05)(06)","72.58kcal","","","2872.81kcal"
"2021-04-19","김자반","43kcal","도라지오이무침(06)","52.36kcal","쇠고기불고기(05)(06)(16)","243.43kcal","","","2872.81kcal"
"2021-04-19","두부매운조림(05)(06)","134.84kcal","배추김치(3~4월)","10.5kcal","무생채","29.31kcal","","","2872.81kcal"
"2021-04-19","깍두기(임가공)","28.75kcal","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(3~4월)","10.5kcal","","","2872.81kcal"
"2021-04-19","","","","","초콜릿(3사교)","286kcal","","","2872.81kcal"
"2021-04-20","밥","363kcal","찹쌀밥","386.34kcal","밥","363kcal","","","2972.44kcal"
"2021-04-20","된장국(일품용)(05)(06)","61.77kcal","매운버섯국(05)(06)","50.92kcal","감자호박국(05)(09)","33.06kcal","","","2972.44kcal"
"2021-04-20","맛김","5.25kcal","장어강정(05)(06)(12)","576.43kcal","돈육표고장조림(05)(06)(10)","296.44kcal","","","2972.44kcal"
"2021-04-20","닭고기감자조림(05)(06)(15)","290.36kcal","계란찜(01)(09)","88.34kcal","콩나물매운무침(05)(06)","34.03kcal","","","2972.44kcal"
"2021-04-20","배추김치(3~4월)","10.5kcal","배추김치(3~4월)","10.5kcal","배추김치(3~4월)","10.5kcal","","","2972.44kcal"
"2021-04-20","우유(백색우유(200ML,연간))(02)","122kcal","","","아이스크림 콘,완제품(02)","270kcal","","","2972.44kcal"
"2021-04-21","밥","363kcal","김치덮밥(05)(06)(10)","589.79kcal","흑미밥","383.63kcal","","","2940.71kcal"
"2021-04-21","순두부국(05)(09)","42.86kcal","계란국(01)(05)","72.73kcal","생선묵국(05)(06)","72.74kcal","","","2940.71kcal"
"2021-04-21","계란찜(01)(09)","88.34kcal","햄슬라이스야채볶음(10)","183.03kcal","떡볶이(05)(06)(10)","388.63kcal","","","2940.71kcal"
"2021-04-21","오이무침","20.25kcal","깍두기(임가공)","28.75kcal","오징어튀김(01)(06)","447.96kcal","","","2940.71kcal"
"2021-04-21","배추김치(3~4월)","10.5kcal","딸기맛우유(3사교)","116kcal","배추김치(3~4월)","10.5kcal","","","2940.71kcal"
"2021-04-21","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2940.71kcal"
"2021-04-22","밥","363kcal","자장밥(05)(06)(10)","778.8kcal","닭고기덮밥(01)(05)(06)(15)","631.92kcal","","","3206.92kcal"
"2021-04-22","버섯된장찌개(05)(06)","46.83kcal","짬뽕찌개(05)(06)(17)","96.95kcal","두부고추장찌개(05)(06)(10)","154.23kcal","","","3206.92kcal"
"2021-04-22","두부엿장조림(05)(06)","140.22kcal","만두튀김(01)(05)(06)(10)","529.61kcal","시금치무침(05)(06)","20.7kcal","","","3206.92kcal"
"2021-04-22","무나물(05)(06)","53.67kcal","단무지무침","19.09kcal","배추김치(3~4월)","10.5kcal","","","3206.92kcal"
"2021-04-22","배추김치(3~4월)","10.5kcal","배추김치(3~4월)","10.5kcal","반건조고구마","218.4kcal","","","3206.92kcal"
"2021-04-22","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3206.92kcal"
"2021-04-23","밥","363kcal","밥1","181.5kcal","짬뽕밥(05)(06)(09)(10)(17)","634.72kcal","","","2980.03kcal"
"2021-04-23","부대찌개(05)(06)(10)","207.58kcal","사골떡왕만둣국(01)(05)(06)(10)","556.51kcal","순두부백탕(01)(05)(18)","115.93kcal","","","2980.03kcal"
"2021-04-23","멸치볶음(05)(06)","80.52kcal","낙지젓","47.69kcal","감자채볶음","122.71kcal","","","2980.03kcal"
"2021-04-23","맛김","5.25kcal","배추겉절이(09)","33.78kcal","배추김치(3~4월)","10.5kcal","","","2980.03kcal"
"2021-04-23","배추김치(3~4월)","10.5kcal","깍두기(임가공)","28.75kcal","영양바","","","","2980.03kcal"
"2021-04-23","우유(백색우유(200ML,연간))(02)","122kcal","","","참깨라면,110g(오뚜기,용기라면,다수공급자계약,영내자증식)","459.09kcal","","","2980.03kcal"
"2021-04-24","핫도그빵(01)(06)(10)(12)","827.74kcal","돼지고기부추덮밥(01)(05)(06)(10)","850.95kcal","찰보리밥","386.7kcal","","","3214.14kcal"
"2021-04-24","우유(백색우유(200ML,연간))(02)","244kcal","콩나물김치국(05)","16.18kcal","닭고기육개장(05)(06)(15)","225.84kcal","","","3214.14kcal"
"2021-04-24","","","오이고추장무침(06)","27.63kcal","비엔나소시지케찹볶음(10)(12)","332.79kcal","","","3214.14kcal"
"2021-04-24","","","배추김치(3~4월)","10.5kcal","무생채","29.31kcal","","","3214.14kcal"
"2021-04-24","","","","","배추김치(3~4월)","10.5kcal","","","3214.14kcal"
"2021-04-24","","","","","아이스샌드","252kcal","","","3214.14kcal"
"2021-04-25","밥","363kcal","찹쌀밥","386.34kcal","밥","363kcal","","","2718.10kcal"
"2021-04-25","돼지고기김치찌개(05)(06)(10)","87.11kcal","오징어찌개(05)(06)(17)","67.37kcal","시금치된장국(05)(06)(18)","50.31kcal","","","2718.10kcal"
"2021-04-25","느타리버섯볶음","102.46kcal","맛김","5.25kcal","꽈리고추멸치볶음(05)(06)","81.72kcal","","","2718.10kcal"
"2021-04-25","감자매운조림(06)","108.77kcal","쇠고기(캔)야채조림(05)(06)","181.69kcal","두부김치(05)(10)","385.08kcal","","","2718.10kcal"
"2021-04-25","배추김치(3~4월)","10.5kcal","깍두기(임가공)","28.75kcal","깍두기(임가공)","28.75kcal","","","2718.10kcal"
